sentence,abstract_abstract,abstract_concrete,abstract_ignorance,policy_not policy,policy_policy,dynamics_not dynamics,dynamics_dynamics,valence_neutral,valence_winning,valence_losing
You win by getting the dark green block.,-9.6747675,-0.0004875147,-7.8996077,-4.1318875e-05,-inf,-7.984153,-0.00034440245,-9.792418,-6.134509e-05,-inf
You have to avoid the yellows.,-8.16898,-0.00082797144,-7.618105,-6.20243,-0.002037845,-4.4500303,-0.011752264,-1.1601806,-9.204613,-0.3763137
If you get blue blocks you release the light green which will eliminate orange blocks:  good to do this on the first three levels but not on the fourth as then it lets out all the yellows.,-0.07656712,-inf,-2.7570004,-3.3696735,-0.035040583,-0.7265008,-0.6609052,-0.23304111,-1.5751812,-7.2892985
You win by getting the yellow block.,-8.984502,-0.0011799892,-6.9721465,-2.5226382e-05,-11.13776,-8.134818,-0.000296732,-inf,-3.2929079e-06,-inf
You can push other blocks out of the way with green blocks.,-0.27298355,-1.4319515,-inf,-4.731161,-0.008865457,-8.4671545,-0.00021295747,-0.030421622,-3.509458,-inf
You can only push one green block at a time so be careful not to get stuck.,-1.2900935,-0.3219501,-inf,-7.1446133,-0.0007934243,-8.8217535,-0.00014978688,-0.023052001,-8.811163,-3.7903116
I don't understand this game except if you land on a yellow block you lose.,-inf,-inf,-3.9292416e-05,-2.3080716e-05,-11.0822315,-0.03301639,-3.4279196,-3.7715824,-inf,-0.023482122
You have to push light blue blocks into light yellow blocks.,-2.3985438,-0.09539945,-inf,-2.4989967,-0.08577165,-7.107165,-0.00082249544,-0.5597412,-0.84730834,-inf
Hitting a red block or pushing the right combination of other blocks together sometimes makes a light yellow block if you don't have one.,-2.4295232,-0.09737946,-5.7742558,-0.0030265525,-5.8082614,-6.3167887,-0.0018111985,-0.11013563,-2.2630725,-9.168858
Try to get the pale green block while avoiding all the red blocks.,-9.226888,-0.00032533353,-inf,-6.5333424,-0.0014648658,-1.0074424,-0.45440277,-0.15544958,-1.9439628,-7.2236257
Light blue transports you to yellow.,-6.021571,-0.005080057,-5.979501,-0.0019945393,-6.224437,-4.967389,-0.0069912346,-0.00070838263,-7.31306,-inf
Brown transports you to orange.,-5.313555,-0.11450218,-2.2805731,-0.01030926,-4.582117,-4.776398,-0.008470962,-0.0022322133,-6.124882,-inf
You need to get the brown square.,-9.1473875,-0.0006629954,-7.6115503,-0.00056292297,-7.527434,-5.453818,-0.004294096,-0.5480879,-0.8631533,-inf
If you land on a pale blue you lose.,-8.526402,-0.0002854113,-9.732608,-1.5723951,-0.23265624,-7.9056163,-0.00037132783,-10.709886,-inf,-2.7252845e-05
If you push a dark blue into a pale blue they both disappear.,-8.859559,-0.0001726703,-10.7648535,-0.6465126,-0.74213374,-6.9695783,-0.00094278844,-1.2831409,-0.32471913,-9.739211
This is hard and it's easy to get stuck so plan everything carefully before you start.,-0.02233915,-inf,-3.8167956,-4.8517447,-0.007857165,-9.968313e-06,-inf,-0.76450396,-inf,-0.6266866
I have no idea what to write here,-inf,-inf,-0.00020902375,-8.776276e-06,-inf,-0.00021796036,-inf,-0.00017958412,-inf,-inf
You have to follow the exact order,-0.04916611,-5.104758,-3.1788774,-0.74673235,-0.6423794,-0.048069645,-3.0595176,-0.002752569,-6.6023927,-6.649216
I think you have to shoot all the bricks before reach the bottom,-inf,-inf,-0.00020258676,-0.024643334,-3.7195764,-0.052388135,-2.9759512,-0.59156764,-0.8285099,-4.7043986
Let the green brick do all the work for you and then avoid the yellow bricks,-0.002248746,-6.354765,-7.9283924,-4.088127,-0.016944995,-0.045566276,-3.1118715,-0.5458901,-0.8690369,-6.8258047
think before your every move because it's possible to get stuck and lose a life,-0.00059294765,-7.8855877,-8.75395,-7.4814186,-0.00057221355,-0.0008064139,-7.1484733,-9.595471,-inf,-8.8404326e-05
I didn't get what you were supposed to do,-inf,-inf,-2.2842309e-05,-3.650519e-06,-inf,-2.220075e-06,-inf,-0.20329991,-inf,-1.6950945
Sometimes bricks can change colours once you touch them,-0.15758835,-3.7266686,-2.1116765,-0.00043388773,-7.7820234,-4.7440567,-0.008747179,-0.00019078559,-8.924267,-10.328339
"Stay calm and dont panic, observe how and where the bricks move",-0.0006719247,-9.386537,-7.6412873,-4.044871,-0.017681457,-9.531814e-05,-9.44714,-0.04803829,-3.0612028,-inf
"Very easy to get stuck, plan your actions well beforehand",-0.013890095,-inf,-4.296691,-3.4866939,-0.031096986,-0.00055350957,-7.5233254,-2.0222416,-inf,-0.14202109
I tried connecting my blue block to the green blocks but I failed.,-9.277107,-inf,-0.0002134343,-9.610702e-06,-inf,-7.77952e-05,-9.640188,-5.8752265,-inf,-0.0028548052
Then I tried to connect it to the purple block and also failed.,-8.877527,-inf,-0.00048274655,-3.7697225e-06,-inf,-6.511407e-06,-inf,-3.0106683,-inf,-0.050589055
I think maybe this is a timed game.,-9.964507,-inf,-0.00011534435,-8.776276e-06,-inf,-4.1914896e-05,-10.471039,-0.00013059509,-9.690837,-inf
I don't have much to offer as I was not able to pass the first level.,-inf,-inf,-9.400689e-05,-1.0280384e-06,-inf,-6.0345924e-06,-inf,-10.544567,-inf,-3.7981175e-05
Good luck!,-6.3750167,-inf,-0.0019527796,-1.1398757e-05,-inf,-6.392203e-06,-inf,-6.837811e-05,-10.455702,-inf
!,-inf,-inf,-0.02515415,-0.008109778,-inf,-0.11665563,-inf,-0.61821574,-inf,-inf
I was able to pick up the white block first and then the single green.,-inf,-inf,-0.0021338484,-2.9517714e-05,-11.268657,-0.4661233,-0.9873941,-0.071747534,-2.6716106,-inf
I wasn't able to pass the green wall.,-inf,-inf,-0.00019412329,-1.247159e-05,-11.796668,-0.9319286,-0.50057214,-8.484901,-inf,-0.00026526954
I am thinking that if you pick up the white block first and then head for the green wall you will be able to go through.,-0.00024263552,-9.179182,-inf,-5.1282973,-0.0059562917,-0.14782837,-1.9850438,-0.28238705,-1.40366,-inf
"In level 1 you have to keep moving over the blocks that turn green to turn them back to yellow, if they all turn green you are out.",-5.8385262,-0.008869474,-inf,-2.9587057,-0.053311948,-5.055447,-0.0063998657,-4.7760277,-6.963585,-0.009464465
The next levels are the same except they are squares that turn other colors and you may have to alternate moving to the top and bottom of the screen to prevent all the blocks from turning color.,-0.0006884866,-inf,-8.343599,-0.14396505,-2.0095828,-0.9736868,-0.47436392,-0.37457344,-1.1645286,-inf
You have to get to the darker green square without touching any of the yellow or red squares.,-2.5099666,-0.0849159,-inf,-1.7926321,-0.1821928,-5.432631,-0.0043853717,-0.94606006,-0.5873507,-2.8876762
The lighter green squares can help you as you are able to remove the purple squares to release the light green squares which will eat up the red and yellow squares.,-0.0006545356,-inf,-inf,-1.0217083,-0.4463298,-5.2883606,-0.005069499,-3.407414,-0.033749085,-inf
The goal is to get to the yellow block but you can not move/touch any other color blocks except green.,-0.4301327,-1.0541751,-inf,-3.682881,-0.025488548,-5.5645547,-0.0038440174,-1.8354659,-0.27573162,-2.5095649
You can push the green ones to clear a path to the yellow.,-1.4305475,-0.2734048,-inf,-4.0281425,-0.017983813,-8.524159,-0.00020127551,-0.65357333,-0.7344449,-inf
But be careful as you cannot push or move through more than one green block.,-0.032758925,-3.43878,-inf,-2.7266648,-0.06770068,-7.9388885,-0.0003587032,-0.07651124,-9.742668,-2.6101606
I had trouble with this one.,-inf,-inf,-3.750436e-05,-1.0280384e-06,-inf,-9.0883464e-07,-inf,-0.03113893,-inf,-3.4870791
"If you touch a yellow block you die, if a brown block falls on you you die.",-inf,-0.000788306,-8.738437,-1.8418508,-0.17262319,-6.949832,-0.0009624351,-11.468394,-inf,-1.2233183e-05
"I am thinking you touch the purple one first and then there may be some order, or perhaps it is to get all the brown to fall to the bottom.",-2.1635501,-inf,-0.12222937,-0.0005435001,-7.5503407,-0.0003118672,-8.148667,-0.0271383,-3.6569314,-inf
"Level 1: push light blue to yellow squares in the center to make them disappear
Level 2: touch red and it turns to yellow, then push blue to yellow
Level 3: push red to purple and it turns to yellow, then push blue to yellow
Level 4: touch pink and it turns red, push red to purple turns yellow, then blue to yellow.",-3.4269352,-0.05550194,-4.472458,-7.5395594,-0.0005443345,-0.85335207,-0.5551343,-1.2609555,-0.33348623,-inf
For all eliminate the yellows with the blue and you are done the level.,-1.1848726,-1.6694975,-0.6834478,-1.4315939,-0.27309895,-0.05850766,-2.8685472,-2.9597557,-0.053276796,-inf
"You can exit square by touching the blue, do not touch the reds or you lose lives.",-3.4874773,-0.034323692,-5.898036,-4.605404,-0.010061098,-4.9312453,-0.0072476184,-5.717662,-11.3876295,-0.0033195917
I don't know anything else :(,-inf,-inf,-4.6683042e-05,-1.147242e-06,-inf,-0.00018256421,-inf,-0.0011739171,-inf,-inf
You have to careful move the purple squares over the light blue to clear a path to the brown.,-0.02273066,-3.806895,-inf,-6.3900275,-0.0016931501,-2.7088938,-0.06895154,-0.65238476,-0.7365122,-8.39528
Light blue square changes green into purple.,-6.0599627,-0.0026945553,-8.0178175,-0.0067100436,-5.0098534,-7.332659,-0.0006578696,-0.00026491194,-8.456318,-inf
"When all green squares change, you lose.",-9.170893,-0.00017386234,-9.751345,-0.13314179,-2.0823586,-5.635795,-0.003577738,-8.723919,-inf,-0.00018697108
Light blue square is also death.,-10.56083,-0.00014358829,-9.16936,-0.0052299676,-5.25791,-6.9646735,-0.00094730716,-11.274066,-inf,-1.4617256e-05
Green causes death.,-8.530699,-0.0018904342,-6.448378,-0.18586713,-1.7744329,-7.179796,-0.0007667448,-9.159399,-inf,-0.00011844365
"Get white block, allows you to traverse green.",-6.002712,-0.0032974898,-7.210214,-4.3047614,-0.013608373,-0.7588462,-0.6315631,-0.06573642,-2.756807,-inf
Multiple white blocks allows one to traverse multiple green.,-0.22822912,-1.6050507,-5.8865466,-2.0376842,-0.13967767,-2.1540167,-0.12334277,-0.5471227,-0.86463714,-inf
"Only need to pick up yellow to win, not red.",-8.132171,-0.0005517215,-8.551694,-1.3171794,-0.31185988,-3.608618,-0.027468082,-4.6511874,-0.009606861,-inf
Keep blocks from changing colors by touching them.,-2.91644,-0.055930164,-8.299483,-4.363295,-0.012837118,-2.3548074,-0.09974154,-0.0054755327,-5.7392898,-6.130794
Blocks change colors when touched by falling blocks.,-4.5508637,-0.012472803,-6.32536,-0.0001752928,-8.698742,-8.422568,-0.00022380134,-0.00010521204,-9.567562,-11.155865
Falling blocks can be destroyed by touching a block they changed the color of (reverting it back to original color).,-4.468009,-0.011790431,-inf,-3.6144443,-0.027326008,-9.928462,-5.085517e-05,-0.1396051,-2.0391183,-9.571071
You can eat blue blocks.,-3.2108152,-1.1262414,-0.45638067,-0.002574948,-5.9710903,-2.1500669,-0.12386952,-0.071753636,-2.6727803,-inf
"Light green blocks, when released from blue blocks surrounding them, will automatically eat orange.",-0.16877446,-1.8835763,-inf,-0.28143054,-1.4054825,-6.270568,-0.0018969867,-0.15311323,-1.9530705,-inf
Goal is to avoid yellow and eat the deep green block.,-3.268183,-0.039762676,-7.241619,-2.5363798,-0.082480505,-0.43954283,-1.0338268,-0.33612445,-1.2807465,-4.901371
Goal: eat yellow block.,-8.836358,-0.00069933047,-7.5914207,-0.024256296,-3.7323022,-5.44127,-0.004347872,-6.023294,-0.002433213,-inf
Push green blocks into orange block to destroy the orange blocks.,-8.374795,-0.00023977463,-inf,-6.3193583,-0.0018341572,-5.7067432,-0.0033342028,-2.289071,-0.10691921,-inf
"Think before you push, green blocks can block your path.",-0.0032364172,-5.746162,-inf,-9.850007,-5.5980927e-05,-2.6985059,-0.06968741,-0.0013183352,-7.0329328,-7.8297944
"Goal: eat several light green blocks to fill meter at the bottom of your block; when it is full, eat purple block.",-6.7555337,-0.0013621398,-inf,-4.6491637,-0.009635667,-7.464841,-0.0005750744,-6.197994,-0.002063661,-inf
"You can eat any light blue block to move, and can move on the gray blocks that this reveals.",-0.9517404,-0.48846638,-inf,-0.33796358,-1.2492013,-6.199315,-0.002036061,-0.25337568,-1.4974858,-inf
"Hazards to avoid: eating blocks underneath brown blocks will cause them to fall, if they fall on you, you die (you can eat them and quickly run away).",-3.1611311,-0.047287233,-inf,-3.6560497,-0.026201246,-7.5463786,-0.00053146784,-6.839648,-inf,-0.0010915198
Avoid letting the yellow moving blocks out.,-0.51637065,-0.90933025,-7.7442894,-7.7322702,-0.00044711566,-1.3721303,-0.2924794,-0.3960875,-6.287874,-1.1238097
"You only need to fill the meter, not eat all the light green blocks.",-1.1406221,-0.38594908,-7.6314116,-0.6920787,-0.6943065,-1.6375629,-0.21625057,-0.52853143,-0.89058053,-inf
Goal: push blue blocks into yellow blocks.,-8.467825,-0.00021593389,-inf,-1.0501226,-0.43068257,-5.1007957,-0.0061131786,-5.6928325,-0.0033868374,-inf
Clear out all blue blocks to win.,-9.233927,-0.00018732868,-inf,-4.110904,-0.0165402,-7.4861913,-0.0005630422,-11.677584,-1.6882126e-05,-inf
Touching red blocks turns them yellow.,-inf,-2.546479e-05,-11.745536,-0.010864352,-4.5290585,-6.511465,-0.0014933188,-0.035903968,-3.3485947,-9.6068
"Orange blocks can be pushed into purple blocks which will turn them yellow, then cleared out with blue.",-1.3792901,-0.29633573,-inf,-3.8493216,-0.021534203,-8.858583,-0.00014454192,-1.1718843,-0.37081885,-inf
"Pink blocks can be touched to turn them orange, then the orange block can be pushed into purple and then the blue pushed into them.",-3.1508102,-0.07073589,-inf,-2.291791,-0.10659126,-4.9970293,-0.006785232,-2.484402,-0.08712228,-inf
Goal: avoid the moving blocks to eat light green block.,-0.039594032,-3.3870537,-5.4169135,-4.0161433,-0.01820531,-0.18132548,-1.7969737,-0.61877227,-0.86819243,-3.1834009
The Dark green blocks are death traps.,-7.300772,-0.000769248,-9.397765,-0.018356074,-4.0080924,-9.164966,-0.00010759611,-9.873181,-inf,-5.967624e-05
Stepping on light blue blocks will teleport you to yellow.,-6.680023,-0.0016099588,-8.043066,-0.2757405,-1.4231404,-8.339121,-0.00024382756,-0.0035745304,-5.702036,-8.763321
Stepping on dark blue blocks will teleport you to orange.,-6.3982,-0.0017461005,-9.598313,-0.27696767,-1.419315,-8.928476,-0.00013703208,-0.0034033556,-5.8249,-7.884772
Goal: eat brown block.,-7.827576,-0.0042005633,-5.634175,-0.46268535,-0.99326396,-2.556914,-0.08073493,-5.135634,-0.0059191966,-inf
Touching light blue block is death.,-11.3783045,-5.8365e-05,-10.288753,-0.9727315,-0.47494212,-8.938292,-0.00013309837,-13.844011,-inf,-1.6240566e-06
Push purple blocks into light blue to cancel out light blue block.,-5.9568095,-0.0026641234,-inf,-7.663208,-0.00047893205,-7.0261087,-0.000891452,-0.36121795,-1.1936574,-inf
"Still, something more is needed.",-0.54910696,-inf,-0.8619026,-2.8921695e-05,-inf,-1.4259645e-05,-inf,-7.79144e-05,-inf,-inf
Get to the tan squares as soon as possible!Takes some focus.,-0.09999668,-5.0556602,-2.427349,-1.9512283,-0.15330991,-0.027814463,-3.5982356,-0.6723339,-0.7149727,-inf
Go get the free white square first.,-10.624501,-7.7199176e-05,-10.207906,-5.50356,-0.004092055,-0.04458858,-3.1330304,-0.07994606,-2.5672317,-inf
Then you can go through the tan squares to reach the other white squares.,-1.2416492,-0.34134817,-inf,-0.17359631,-1.8368253,-3.6150846,-0.027291207,-0.11931828,-2.1857111,-inf
Stay on the move constantly.,-0.0033077046,-5.739592,-10.022669,-3.0681207,-0.04764726,-0.00077568134,-7.181064,-0.007884135,-4.8533354,-inf
Don't wait around.,-0.03478019,-9.602791,-3.3830297,-0.28176796,-1.4043399,-1.4021238e-05,-inf,-6.742448e-05,-10.467795,-inf
Try not to unleash the tan boxes.,-0.3621124,-1.1957229,-6.7051854,-4.8405085,-0.007944922,-0.16192117,-1.9006735,-0.0072067752,-7.4248667,-5.036498
When you access the white boxes it opens a door in the red.,-2.7053401,-0.0701854,-7.189387,-0.031510245,-3.4743986,-7.554375,-0.0005266997,-0.21018286,-1.6640327,-inf
Take the shortest route to the exit.,-0.04223645,-3.1873171,-inf,-9.957558,-5.109358e-05,-0.11694307,-2.2041624,-2.855298,-0.059311885,-inf
Get past the red blocks by using the tan blocks.,-0.06722395,-2.737247,-inf,-9.492088,-8.220573e-05,-3.826014,-0.022045566,-0.3515667,-1.2166923,-inf
"On the third level, get to the door in the wall and then leave the tan block until you get past the red block on the bottom.",-2.2719092,-inf,-0.7421471,-6.5979657,-0.0013773758,-0.15020066,-1.9700344,-1.7250998,-0.19635224,-inf
Fill your tank with tan.,-4.4438066,-0.25911602,-1.5377167,-0.7992149,-0.59737927,-0.009875788,-4.625911,-0.0720525,-2.6691384,-inf
"When you are full, go for the exit.",-0.60010886,-0.800287,-6.2925453,-2.9957268,-0.05131852,-0.91666347,-0.5106042,-1.2366213,-0.3430837,-inf
Be wary of falling red blocks when you eat a tan block.,-0.19130756,-1.7518125,-7.850409,-3.8996994,-0.020472748,-6.9773135,-0.0009359975,-2.4316697,-9.674163,-0.09214458
Go for the freestanding tan blocks first.,-6.102572,-0.0023733927,-9.123111,-7.309007,-0.0006766928,-0.057724252,-2.881346,-1.8417535,-0.17268798,-inf
The blue and red blocks are movable and the nay blocks can make tan to eat.,-5.564535,-inf,-0.004773888,-4.8828708e-05,-inf,-4.036525e-05,-inf,-0.0020703254,-inf,-6.5703897
This is about teleporting.,-0.036971,-inf,-3.3177671,-4.6444635e-05,-inf,-0.0009868424,-6.9347734,-2.4034345e-05,-inf,-inf
Keep an eye on your block at all times and try to figure where you teleport to.,-0.012071495,-5.692318,-4.7725964,-0.585318,-0.81416553,-0.02662932,-3.6408699,-0.0005658994,-7.5896087,-inf
Sometimes it is right near the exit!,-0.6177187,-inf,-0.7757902,-1.5809293e-05,-inf,-2.188868e-05,-11.515206,-0.07915272,-2.5766218,-inf
Evade everything else.,-1.9029622,-0.17408994,-4.5833917,-4.8913093,-0.0075486507,-3.1544176e-05,-10.712466,-0.0071137566,-6.587484,-5.175939
Us the blue blocks to eat the light blue blocks and get to the door.,-0.62885123,-0.7873729,-4.587258,-2.0155914,-0.1430824,-0.7305037,-0.65730155,-0.5997118,-0.79716814,-8.830792
Don't let your dark blue square touch the light blue one.,-10.381277,-4.167649e-05,-12.1394005,-6.2869253,-0.0018683063,-7.1168933,-0.00081379723,-5.453017,-inf,-0.004317249
Try to line up to the green ones as well as possible,-0.26857036,-1.4504075,-6.971524,-3.6147993,-0.027324382,-0.00043984794,-7.7661104,-0.32762712,-1.2755718,-inf
"Collect the smallest amounts of white blocks first, then make your way to the yellow block to finish",-5.1539106,-0.00586219,-inf,-7.719463,-0.00044961896,-0.41859928,-1.0729438,-6.3124228,-0.0018264309,-inf
try to catch the green squares when they turn green from red at the bottom,-5.2786217,-0.010467701,-5.377363,-5.513808,-0.0040515643,-0.31118992,-1.3190997,-1.0003246,-0.458691,-inf
Unlock the light blue ones by running over them and they will eat the blocks you need moved.,-1.963294,-0.1514749,-inf,-1.839566,-0.1730831,-4.100772,-0.016707381,-0.48748595,-0.95283514,-inf
Avoid getting hit by the tan squares and end at the green ones.,-2.2385077,-0.11286501,-inf,-8.519229,-0.00020509004,-4.13773,-0.01609279,-1.2649823,-3.3716679,-0.38089383
"Move the green blocks but don't get caught in a corner with them, move them to move the bad blocks out of the way",-0.0033620084,-7.053594,-inf,-9.60386,-7.910644e-05,-0.8169372,-0.58306956,-0.05141998,-2.9955995,-inf
"Don't get eaten by the yellows or reds, try to collect greens but be careful because the browns will fall and kill you.",-0.014253063,-5.2752833,-5.414249,-3.5777678,-0.028350303,-0.13838865,-2.0461912,-8.437309,-inf,-0.00023846338
Collect greens to fill up the bar on the dark blue square and then go to the purple.,-6.0472856,-0.0024170377,-inf,-4.137656,-0.016110264,-3.5786507,-0.028321566,-0.79261744,-0.6027981,-inf
Try to change the color of the block to tan and then collect it at the purple site,-0.3621541,-1.1996118,-inf,-4.006777,-0.018398438,-2.7201455,-0.06815265,-1.8389378,-0.1732426,-inf
"Try to jump from square to square, only use the ones that aren't moving and avoid the ones that are moving.",-0.016824147,-4.1132464,-inf,-9.098098,-0.000121542944,-3.2867668,-0.038096115,-0.33214885,-1.2742741,-5.8933043
"Use the purple blocks one at a time to eat up the light blue blocks, don't get trapped into the wall",-0.0040556025,-5.6659913,-inf,-9.821847,-7.362307e-05,-1.9916654,-0.1467652,-0.3483719,-1.3863224,-3.1309304
As far as I can tell there is no way to win?,-inf,-inf,-5.6219335e-05,-5.4385737e-06,-inf,-1.640531e-05,-inf,-0.46649796,-inf,-0.99047524
"There are three squares here: 
- yours, the dark blue
- the opponent's, the light blue
- and 7 green wriggling squares

The opponent can ""capture"" the 7 squares, converting them to a different colour

If a total conversion happens, you lose

If you touch the opponent, you lose

You cannot dis-convert any squares your opponent changed over..",-0.031208724,-inf,-4.860438,-0.52790606,-0.8914734,-0.7869645,-0.60748297,-5.079074,-inf,-0.0063254894
"..So, unfortunately I can't give you more than that.",-inf,-inf,-0.0003812217,-8.776276e-06,-inf,-8.180258e-06,-inf,-0.002359356,-inf,-6.103445
Maybe this session was meant to be lost?,-3.5568683,-inf,-0.029080056,-1.1517961e-05,-inf,-1.60477e-05,-inf,-3.5711873,-inf,-0.02871247
This one seems pretty straight-forward: collect the white squares so that you may safely pass through the light-green squares.,-0.031351175,-3.4833202,-inf,-7.7544384,-0.00043496056,-2.4703548,-0.08835669,-3.4969833,-0.030777764,-inf
"Your goal appears to ONLY be touching the ""golden brown"" square.",-2.5097775,-0.19557811,-2.3685975,-0.00985773,-4.6283803,-2.008932,-0.14405063,-2.8568764,-0.059219316,-inf
It costs you one white square per one light-green square.,-4.5026803,-0.012480336,-6.7011857,-0.15845422,-1.9207013,-3.9504888,-0.019441271,-0.0233581,-5.6394143,-3.9427822
There are always enough white squares to allow you safe passage through the greens — just make sure you remember to search out the white squares first before you do anything!,-0.0005638766,-8.247548,-9.133752,-6.507123,-0.001505694,-1.7503308,-0.19084059,-1.430859,-0.27348933,-inf
**Don't** just proceed blindly!,-0.111483544,-2.4242125,-4.122424,-3.7035382,-0.024985455,-0.00070432975,-7.2895875,-0.047411837,-inf,-3.1108217
Collect white squares to pass through the green squares (one per) to collect the golden brown square.,-3.5845733,-0.03556395,-inf,-7.2262826,-0.0007348202,-4.938329,-0.0071961316,-1.3876405,-0.28736922,-inf
"First and foremost: yes, there are ""opponents"" on this board.. ..but you CAN touch them without losing a life!",-0.063308746,-3.1326408,-4.047348,-0.051640086,-2.9898515,-0.46225873,-0.9939436,-0.55933416,-0.8483738,-inf
"Use this to your advantage: because your opponents' mission is to convert ""your"" bases, through contact.",-0.0005423081,-9.2661295,-8.110267,-1.2108178,-0.35385752,-1.5649725,-0.23459871,-2.2653997,-0.110530525,-7.223438
The sandy-beige coloured sqaures.,-inf,-inf,-7.815281e-05,-3.631232e-05,-inf,-0.0006809804,-7.35804,-8.42322e-05,-inf,-inf
And your opponents *will* convert these — there is nothing you can do about that.,-0.28320408,-inf,-1.4032011,-6.6947665e-05,-10.0425625,-0.0030456893,-5.804939,-0.09590062,-9.1800165,-2.3945913
YOUR mission is to prevent ALL of your base(s) from becoming converted.,-0.01649353,-4.1487813,-inf,-0.98308474,-0.4687968,-2.1139708,-0.12871253,-1.9168189,-0.1806795,-4.0180016
"To accomplish this, just ensure you're sticking to the row of your bases, and touching any which were contacted by the opposition.",-0.024170306,-inf,-3.7582936,-1.6326331,-0.21749865,-0.09236731,-2.4280932,-2.8024335,-0.06286107,-8.491481
"You will need to be waggling with the right / left keys a lot to maintain your bases' original colouring, but that's fine.",-0.22220547,-inf,-1.6171926,-0.027790928,-3.599061,-0.0069906493,-4.971409,-0.009195538,-4.7205296,-8.991491
