sentence,abstract_concrete,abstract_ignorance,abstract_abstract,policy_not policy,policy_policy,dynamics_dynamics,dynamics_not dynamics,valence_winning,valence_neutral,valence_losing
You can step on top of the red squares.,-0.00012499251,-10.040795,-9.53386,-0.00051371387,-7.6280427,-0.01121122,-4.4971657,-5.61829,-0.0037478216,-9.59745
White is your key and yellow is the goal.,-1.4785907,-6.8497972,-0.2603271,-0.03069771,-3.4994593,-0.0299908,-3.5221632,-0.028577978,-3.5712626,-inf
When you enter the green square it will turn yellow again.,-0.00024275472,-9.291873,-8.893918,-0.0001593195,-8.7807,-0.003099762,-5.7792993,-5.922285,-0.0027046618,-inf
I don't understand how to win,-inf,-6.46828e-05,-inf,-3.7697225e-06,-inf,-inf,-1.1517961e-05,-7.7355237,-0.008032555,-4.915732
Be patient until you are in the clear.,-9.831546,-7.8576446,-0.00048393858,-2.1426914,-0.12485,-7.5092754,-0.00055898924,-8.571776,-0.00020652048,-inf
"Finally, if no orange squares exist but pink squares do, ""eat"" those.",-1.7989184,-8.21425,-0.18163936,-5.7714567,-0.0031308944,-0.01825659,-4.012552,-0.28009573,-1.4097744,-inf
Good luck!,-inf,-0.00049095694,-8.036246,-1.0802739e-05,-inf,-inf,-9.133887e-06,-11.4203005,-5.443128e-05,-inf
Green squares are bad.,-0.020231076,-3.9628599,-7.071913,-0.7297166,-0.65798694,-0.51576257,-0.90902543,-inf,-0.29885557,-1.3539493
Touching the orange and pink squares leads to death.,-3.261701e-05,-inf,-11.463303,-1.0837876,-0.41299972,-5.0139948e-05,-9.929891,-inf,-12.314702,-6.6306106e-06
You can use the same red square to remove multiple green squares.,-0.08745108,-inf,-2.4802942,-1.3484118,-0.30069184,-0.04262069,-3.1770048,-0.15521526,-1.9400015,-inf
The goal is to reach the yellow square.,-0.0133911455,-8.215765,-4.3433776,-0.0003768112,-7.941203,-0.00013357517,-8.960985,-0.0015686647,-6.460681,-inf
Red blocks will spawn from the purple block and will try to reach the green block.,-0.3795335,-inf,-1.1542394,-0.32513502,-1.281821,-0.00018530223,-9.240732,-8.491326,-0.42072022,-1.0696536
(Note: the yellow square can go through walls) If all the green squares turn purple you also will die.,-0.29008797,-inf,-1.385917,-0.38292632,-1.1454386,-0.0011271214,-6.790802,-inf,-5.2364583,-0.005390519
Remove all blue squares to win.,-0.0039952924,-inf,-inf,-5.140521,-0.005887199,-0.0011122356,-6.8042874,-1.8074163e-05,-11.597434,-inf
No idea,-inf,-0.00014942927,-inf,-1.0445127e-05,-inf,-inf,-0.0005605389,-inf,-0.0005119258,-inf
Avoid yellow block.,-8.11329e-05,-9.718026,-inf,-10.681141,-5.347765e-05,-1.2791171,-0.32617706,-inf,-0.020970643,-3.8784592
Get the red and yellow blocks.,-0.00056792586,-9.735998,-inf,-0.47570798,-0.9715271,-6.1729445,-0.002099349,-0.44560555,-1.0230458,-inf
Avoid yellow block while touching the blue ones.,-0.0044574165,-7.452656,-5.5816746,-9.338263,-9.126521e-05,-0.4272583,-1.0564659,-7.8756304,-0.09395132,-2.4167376
Try to get the yellow block.,-0.006100028,-inf,-inf,-0.007813517,-4.8577185,-0.0023718432,-6.047063,-7.9607916,-0.0006951583,-inf
"Don't touch red/pink blocks, can grab light blue blocks.",-0.00035333907,-9.3149,-8.362271,-8.773753,-0.00015753144,-0.043776065,-3.15058,-10.487718,-2.4487507,-0.09045154
You can also press space next to the gray blocks to collect them.,-0.006235802,-11.277797,-5.0860066,-0.5557413,-0.85262394,-0.0034786668,-5.6639647,-0.18730965,-1.7675022,-inf
You cannot move purple blocks.,-0.0005138331,-8.89568,-7.9199,-0.0824905,-2.536468,-0.00017338553,-8.669815,-inf,-9.996708e-05,-inf
Some red blocks are inaccessible.,-6.187736,-2.5794463,-0.08128889,-8.537869e-06,-12.513537,-0.8877309,-0.53036433,-inf,-7.815281e-05,-9.666786
Levels get harder as you progress.,-10.047683,-3.5725448,-0.028609032,-0.00014215785,-8.916406,-2.5857506,-0.078352034,-11.674078,-2.4391957e-05,-inf
Be careful to not push a green block where it can get stuck.,-4.711901,-inf,-0.009058386,-7.96197,-0.0003550079,-0.15927663,-1.9157597,-9.38853,-0.0059827124,-5.1427436
"Do not touch light blue blocks, or you will die.",-0.0025995572,-inf,-inf,-7.5604167,-0.0005239617,-0.00010211275,-9.21597,-inf,-10.551631,-6.396757e-05
Try not to stay still or you will die.,-0.54821944,-7.450712,-0.86425185,-0.92401654,-0.5057617,-0.9050221,-0.5184426,-inf,-7.24749,-0.00073243614
Red and pink blocks will hurt you.,-4.2510914e-05,-11.361804,-10.772845,-0.38654977,-1.1376312,-9.615256e-05,-9.27089,-inf,-8.023676,-0.0003395151
You cannot move purple blocks and maybe pass through them.,-2.1519294,-1.6104256,-0.38035735,-0.10051408,-2.3476627,-0.10836484,-2.276097,-inf,-0.0017013643,-6.462364
You control the darkest blue square.,-0.0017508649,-6.61709,-8.232748,-3.3213026e-05,-inf,-0.009203813,-4.706519,-inf,-0.00014609157,-inf
The best strategy for this game is to rapidly use the arrow keys on your keyboard to the green squares whilst avoiding the red ones.,-7.8647757,-inf,-0.00060164585,-5.9460416,-0.002630827,-7.5704074,-0.0006726399,-0.0001170132,-9.219655,-inf
Navigate to the white block and then go to the yellow one after passing through the green one.,-0.47020045,-inf,-0.99234474,-7.777958,-0.00042555082,-1.0303726,-0.44144252,-0.47220114,-0.97727275,-inf
Navigate in the direction of the purple squares and use your square to push them against the light blue squares in order to clear a path for yourself to the goal,-7.035476,-inf,-0.0019716963,-8.730286,-0.00018339496,-0.0025091895,-5.9920683,-0.0012243935,-6.7293415,-inf
I'm not sure I died.,-inf,-4.0603656e-05,-inf,-2.8160932e-06,-inf,-inf,-9.610702e-06,-inf,-6.5924864,-0.0014751063
"After this, navigate back to the green square to end the level.",-0.010336984,-inf,-4.5835485,-1.226585,-0.34724393,-0.24687003,-1.519867,-1.0571196,-0.4269908,-inf
Avoid the orange blocks while navigating to the yellow block.,-0.00082892505,-inf,-7.145692,-10.516129,-3.0113732e-05,-0.010356563,-4.575624,-7.3944464,-0.22382464,-1.6101352
You can safely touch the red blocks.,-0.00063988456,-7.6547136,-8.849866,-0.009447215,-4.6687164,-0.26562214,-1.4557028,-8.878915,-0.04738364,-3.0783818
You are the blue block.,-0.0020383222,-6.3902125,-inf,-7.255024e-05,-inf,-0.0003836021,-7.885401,-inf,-1.247159e-05,-inf
Make sure you collect all white blocks before going for the yellow!,-0.043237366,-inf,-3.1632898,-8.120799,-0.00030412263,-1.2743042,-0.32802075,-0.23440693,-1.566257,-10.0261545
You will complete the level by getting rid of all the blue blocks.,-0.095640965,-inf,-2.394921,-0.006423087,-5.0563707,-0.0009877925,-6.9350758,-0.0006672831,-7.332975,-inf
Don't waste the white you gain.,-2.561023,-6.619128,-0.08191601,-3.4621646,-0.031881995,-3.4146612,-0.033471756,-6.362501,-0.0019072162,-9.380667
its worth it at times to destroy some walls by punching holes to get a perfect system going making red squares easily go into the green square.,-8.149354,-inf,-0.0012564226,-5.0191255,-0.006653207,-0.022144565,-3.821688,-0.0025050286,-6.000893,-inf
"The yellow square is extremely slow and will attempt to revert squares you turn back into green into purple, you can abuse that to protect further squares by keeping the yellow square at one or two squares.",-8.359836,-inf,-0.0029134077,-2.6549475,-0.07303067,-0.005603681,-5.188299,-0.23853476,-1.5512103,-inf
"If there are no red blocks, get all the blocks there are.",-1.0299253,-2.0680304,-0.66106135,-3.3556356,-0.03553093,-5.091246,-0.0062070084,-0.5130514,-0.9131235,-inf
This can be dangerous if overused -- you need some walls to guide the red squares.,-inf,-6.6111255,-0.0018323729,-1.9361228,-0.15583403,-0.0018062029,-6.320179,-6.2605524,-0.36473355,-1.1931695
The yellow square moves around and changes all the green squares to purple.,-0.06505215,-6.960451,-2.780943,-0.00019173922,-8.607652,-0.00021486107,-8.467629,-5.866627,-0.0031324439,-8.378697
"You can only push the purple squares one at a time, not when they are stacked against each other.",-0.030833712,-inf,-3.4951797,-4.0440564,-0.017692938,-0.00016790217,-8.705126,-11.339922,-0.0001909048,-8.776442
Clear a path for the red squares to reach the green square.,-0.05164428,-inf,-2.9899073,-10.560756,-3.1782583e-05,-0.002095661,-6.169992,-0.055624403,-2.9410825,-6.6695924
"Beware, the yellow square can go through walls.",-0.055649437,-10.628089,-2.9170978,-0.68310976,-0.70335627,-0.0008503671,-7.075723,-10.073817,-0.6051856,-0.78985703
The dark blue will kill you,-0.0003712086,-8.558515,-8.807597,-0.0012597566,-6.685645,-0.0003643058,-7.926365,-inf,-8.645482,-0.00026181265
You can move the green,-3.1080048,-0.05007486,-5.7137675,-0.004254577,-5.4655466,-5.0349426,-0.0066221775,-9.539378,-0.00010950337,-inf
"I.e, if there are two green squares and five yellow squares, eat the two green squares first.",-1.5831206,-5.3827534,-0.2376177,-1.7480507,-0.19133563,-0.4775916,-0.96837914,-1.375388,-0.29142842,-inf
The light blue will kill you.,-0.00029768562,-10.35972,-inf,-0.01979394,-3.9331107,-0.00020497083,-8.51246,-inf,-12.5252495,-5.3193703e-06
The green square is a trigger.,-0.043627955,-6.7134104,-3.1833107,-0.00038598618,-7.908442,-7.767599e-05,-inf,-inf,-6.7901296e-05,-inf
You can go through the red.,-0.0025464124,-6.0671787,-8.749622,-0.002141932,-6.1532383,-0.11573728,-2.2138913,-6.2439394,-0.0020935189,-9.378125
The moving orange squares turn them green.,-0.0131595265,-5.0826826,-4.993306,-0.0010972379,-6.8228364,-0.021291029,-3.8607323,-5.3193555,-0.005012802,-10.258457
Yellow to win.,-2.5593278,-0.081441745,-7.693413,-0.001112474,-6.813061,-0.6634087,-0.723864,-0.004543454,-5.3996773,-inf
"think before each push, you can easily get trapped.",-7.951806,-9.277532,-0.0005140715,-8.935502,-0.00013619766,-5.6088495,-0.0036953243,-6.33959,-0.022437893,-3.895725
imagine the purple square on the position you want to push it to first.,-6.761201,-inf,-0.0015230757,-11.439242,-3.750436e-05,-1.8145499,-0.17786743,-2.2651985,-0.10980114,-inf
"We don't know what the red square does, so be careful.",-inf,-0.016775848,-4.1060514,-0.1465063,-1.9932489,-4.1957903,-0.01519688,-inf,-7.421909e-05,-11.964493
The light blue squares will kill you from what I experienced.,-5.7777467,-0.031586014,-inf,-6.206032e-05,-9.797196,-0.01535995,-4.1843147,-inf,-12.52096,-5.4385737e-06
Move quickly to figure out the pink and purple squares behavior.,-7.0922894,-5.73568,-0.004200325,-4.743827,-0.008755794,-6.809827,-0.0011264061,-4.293217,-0.013870925,-inf
Do NOT let the yellow touch you either.,-0.0017425317,-inf,-inf,-6.6720247,-0.0012695167,-0.27125922,-1.4372977,-inf,-3.8244207,-0.022109699
It appears that the goal is to push all the green squares into any of the red squares.,-0.4686599,-inf,-0.9834933,-0.0017538341,-6.424657,-0.0003246183,-8.0421505,-0.025434855,-3.6858048,-10.758265
You can safely walk over the red squares.,-0.00017302792,-inf,-10.635682,-0.037268616,-3.308835,-0.005307285,-5.282548,-5.955683,-0.004399025,-6.366343
See move ahead of push to not block yourself in.,-3.0291035,-9.432519,-0.049748596,-7.9824347,-0.000363829,-1.9561691,-0.15248868,-2.2789395,-0.10811547,-inf
Start with moving the purple squares to the left of the opening to better not trap yourself.,-2.7128568,-inf,-0.06882713,-8.909503,-0.00013846254,-0.4149767,-1.0799109,-0.11681527,-2.2065942,-inf
"I think you need to hit all the green squares, that turned into purple by the yellow square with your brown square attack at least once to clear.",-7.4422393,-2.2161765,-0.116559416,-0.12851495,-2.1157854,-0.35098502,-1.2174535,-0.23375218,-1.5692414,-8.683122
"Here is a hierarchy of BOLDEST to least bold colors, so gathering the color furthest left on this list will end the level.",-7.2201285,-inf,-0.001172725,-1.7090213,-0.19977257,-0.0039400756,-5.622579,-0.08818874,-2.4727063,-inf
"Red, Orange, pink, green.",-inf,-0.002813671,-inf,-2.5941605e-05,-inf,-5.0050216,-0.0067821657,-inf,-0.0004518838,-inf
Solve the puzzle by first gathering enough white boxes to pass through the green boxes and get to the yellow box.,-2.6133342,-inf,-0.07727014,-9.354959,-0.00012284685,-0.0039095576,-5.546968,-0.00038336372,-7.9135456,-inf
"If you see a pink box, pushing it will turn it into a red box.",-0.004194387,-inf,-5.4787407,-3.396131,-0.034089603,-0.00039611853,-7.84119,-6.0899987,-0.0023580485,-9.9239645
Your avatar is the blue box.,-0.00018649426,-8.965937,-inf,-2.7133641e-05,-inf,-0.00039885283,-7.8399086,-inf,-9.729906e-06,-inf
Green boxes cannot move through other green boxes and you cannot push more than one box at a time.,-0.0068427757,-inf,-4.997628,-0.108996175,-2.272824,-0.00012678056,-9.490764,-11.08821,-0.0017956084,-6.344493
Carefully plan your route so you can reach the goal.,-9.752138,-inf,-7.624555e-05,-11.006188,-2.5583993e-05,-9.749754,-7.278864e-05,-1.0055437,-0.4555216,-inf
Dark blue boxes are consumed when they erase a light blue box so your ability to remove them is limited by the number of dark blue boxes.,-0.6726216,-inf,-0.7365731,-0.048009317,-3.0611167,-0.0003280752,-8.029282,-3.8078554,-0.088691436,-2.7739313
Touching the green and blue  boxes seems to do nothing.,-4.1193056,-0.027111849,-4.871661,-1.1756368e-05,-inf,-5.0262437,-0.006602041,-inf,-2.0696643e-05,-inf
I didn't touch a red box while it was moving.,-6.3208,-0.005152639,-5.941247,-0.000708025,-7.266907,-8.988086,-0.00021248066,-4.5181646,-0.018012267,-4.9873343
Keep moving quickly to turn the boxes yellow again once they are turned green.,-0.6723534,-inf,-0.7145859,-7.3131914,-0.00067430874,-0.34059957,-1.2426248,-1.00928,-0.4539878,-7.9785085
Focus on defending the yellow boxes first.,-2.4944673,-inf,-0.08630039,-6.8531065,-0.0010709196,-2.8569877,-0.05919527,-0.4012513,-1.1075253,-inf
I didn't try using it.,-inf,-0.00034046874,-inf,-6.2729996e-06,-inf,-inf,-6.2729996e-06,-inf,-6.9331734e-05,-inf
Go for white blocks first and then move.,-0.0023042932,-inf,-inf,-7.1245685,-0.0008121283,-6.806936,-0.0012433248,-2.4215076,-0.09313264,-inf
Avoid the yellow boxes please!,-0.00025657137,-8.961263,-9.137368,-9.230281,-0.00010163593,-5.41738,-0.0044753393,-10.185549,-0.04523422,-3.120624
Move with ARROW KEYS.,-0.0012119027,-inf,-inf,-0.8076911,-0.5904498,-10.121299,-0.00011331789,-inf,-4.429897e-05,-inf
"Move the DARK BLUE box to collect other colored boxes, based on the following pattern.",-0.0019192412,-10.709614,-6.2871537,-4.959549,-0.007053388,-0.051544763,-2.9911675,-2.1044602,-0.13018654,-inf
Collect all of the LEFT-MOST COLOR.,-0.007961955,-5.999079,-5.229119,-8.923904,-0.00016623331,-0.015250305,-4.1911516,-0.44851366,-1.018355,-9.306842
"Sometimes, you'll have to take another route to gather enough WHITE boxes to reach the YELLOW one.",-6.391774,-inf,-0.0018109601,-5.4836416,-0.004170645,-0.064911276,-2.7671075,-0.44325772,-1.0278524,-inf
Control WHITE BOX with arrow keys.,-2.188868e-05,-12.259269,-inf,-0.1742167,-1.8336539,-0.80223155,-0.5948646,-12.094544,-2.9279307e-05,-inf
"Never push a movable box to the outside perimeter of the game field or it will get stuck there, and cannot be used to complete the level.",-0.88265944,-inf,-0.53408384,-7.720781,-0.00044985735,-0.0001311911,-8.953934,-inf,-4.458989,-0.011751909
Control BLUE BOX with arrow keys.,-1.2948405e-05,-inf,-12.619043,-0.16678059,-1.87389,-1.1721528,-0.37067723,-inf,-2.8921695e-05,-inf
"Push the BLUE box into GREEN boxes to move them, and push all GREEN boxes to a RED box to beat the level.",-0.0018378451,-inf,-9.137879,-6.376157,-0.0017119476,-0.0010904471,-inf,-0.0005927092,-7.4412017,-inf
"Remember, GREEN boxes can all go to ANY RED box.",-0.3453028,-inf,-1.2312224,-2.0145392,-0.14318788,-0.006195996,-5.087611,-3.9085217,-0.020347653,-inf
"Tapping the space bay causes the avatar to ""shoot"" a BROWN box in the direction the avatar last moved.",-0.00024953834,-9.180767,-9.048725,-0.21363905,-1.6486309,-0.0019759766,-6.23044,-3.6623547,-0.026152931,-9.952945
"Use the Space Bar to ""shoot"" a BROWN box from the BLUE box, in the last direction the BLUE box moved.",-0.00017851128,-inf,-9.315852,-6.304043,-0.0018423712,-0.00034440245,-8.538075,-8.869688,-0.0004004025,-inf
Your goal is to get to the YELLOW box.,-0.00019996427,-9.889023,-8.902296,-0.0015698569,-6.477543,-0.0005701907,-inf,-0.000484177,-7.653402,-inf
ORANGE boxes will kill you if you move into them.,-0.000113079484,-10.387498,-9.689494,-1.0975872,-0.40601885,-3.3809047e-05,-10.332683,-inf,-11.246125,-1.5928495e-05
Once YELLOW square is triggered it will seek out the nearest wall so don't be in its path.,-0.06388988,-inf,-2.7833552,-4.012779,-0.018268518,-0.00014931006,-8.82451,-7.1706314,-0.18327892,-1.7923621
Trigger both BLUE squares by shooting them then wait while avoiding moving YELLOW squares.,-0.02343985,-inf,-3.840876,-4.5379395,-0.010773079,-0.0017471734,-6.3516083,-2.1355903,-0.12603259,-9.295127
Plan out the white boxes before making your way to the final yellow box.,-6.772665,-inf,-0.0012514197,-9.100039,-0.000116417184,-2.143684,-0.12470573,-0.018447712,-4.003029,-inf
(Example: the 1st level move all GREEN boxes to the bottom RED box only.),-0.0071471296,-6.1728635,-5.3138547,-3.4172018,-0.03338217,-1.3726053,-0.29234788,-0.677346,-0.70949435,-inf
"Be very quick in avoiding the moving boxes, and choose the right moments to move.",-9.014907,-inf,-0.00016682933,-5.4159827,-0.00446442,-8.196504,-0.00036370975,-2.1709843,-0.121179484,-inf
The YELLOW box turns GREEN boxes to PURPLE when it touches them.,-0.004214213,-8.623469,-5.520959,-0.014135654,-4.2677445,-9.0907604e-05,-9.32903,-6.897279,-0.0020608075,-6.9010744
All GREEN boxes turning PURPLE will also cost a life.,-0.0009943449,-8.346917,-7.219832,-0.6208156,-0.77119476,-0.00028362326,-8.462436,-inf,-7.176173,-0.0010272121
DO NOT touch a GREEN box without collecting enough WHITE!,-0.0062066508,-6.9191074,-5.2724514,-8.959691,-0.00013238314,-0.14616421,-1.9952719,-inf,-1.8093275,-0.17901741
"Color Bank:  
Blue = Control
Green = Pushable
Red = Target

Instructions: 
Using the blue box, push all green boxes into red boxes!",-0.0019363662,-inf,-6.2966714,-9.796692,-6.6947665e-05,-0.003522033,-5.652179,-0.008638917,-4.7575,-inf
Later levels it is easy to get stuck!,-inf,-6.888252,-0.0012696359,-5.6769813e-06,-inf,-12.075803,-1.3902034e-05,-inf,-6.483106,-0.0015733063
"Objective:
Controlling the dark blue box: Create yellow squares that eat up the map!",-0.06985784,-inf,-2.7065995,-0.9865182,-0.46683627,-0.0138826845,-4.2851896,-0.00041756415,-7.8095875,-inf
Eventually once everything is destroyed the level should be completed!,-6.6769967,-1.1417663,-0.38679954,-0.0006166508,-7.447331,-1.8271679,-0.1754383,-0.002194279,-6.2739515,-inf
Boxes are trying to breach and you must defend as best you can!,-inf,-4.216218,-0.0149471285,-0.004138361,-5.496301,-6.627125,-0.0013486882,-0.19427812,-1.7409891,-6.780229
Stay alive long enough and you will win!,-inf,-0.45283288,-1.0110033,-0.000147522,-9.268401,-7.579597,-0.0005299182,-4.167649e-05,-10.249815,-inf
"By using the arrow key , move the blue square and merge with other square to collect and win the game and in few levels I just merge with orange square to win faster",-0.48722646,-1.5504112,-1.7792854,-0.6339883,-0.7563676,-5.1682773,-0.005788243,-0.0009558862,-6.9982247,-inf
