sentence,abstract_abstract,abstract_concrete,abstract_ignorance,policy_not policy,policy_policy,dynamics_not dynamics,dynamics_dynamics,valence_neutral,valence_winning,valence_losing,abstract_tag,policy_tag,dynamics_tag,valence_tag
Focus on the green.,-0.33924508,-1.8259528,-2.0696738,-0.46908858,-0.98247623,-0.0010822329,-6.8622484,-0.0018833003,-6.299184,-inf,"abstract, complex, high-level information","policy, or what actions to take including strategies or instructions","not dynamics, or how the world works including explanations or affordances",neutral information
"I tried this ""advice"" and it didn't work.",-inf,-inf,-8.42322e-05,-4.604148e-06,-inf,-1.0564331e-05,-inf,-0.2670239,-inf,-1.4516801,ignorance statements or specific experiences,"not policy, or what actions to take including strategies or instructions","not dynamics, or how the world works including explanations or affordances",neutral information
I'd say try to make it to the top?,-2.3824675,-inf,-0.09703667,-3.2855416e-05,-10.850706,-8.537869e-06,-12.454471,-0.00667417,-5.039294,-inf,ignorance statements or specific experiences,"not policy, or what actions to take including strategies or instructions","not dynamics, or how the world works including explanations or affordances",neutral information
No idea on this one.,-inf,-inf,-3.3213026e-05,-2.6968896e-06,-inf,-5.3954464e-05,-inf,-0.00026932248,-inf,-inf,ignorance statements or specific experiences,"not policy, or what actions to take including strategies or instructions","not dynamics, or how the world works including explanations or affordances",neutral information
Good luck.,-6.442138,-inf,-0.0018020346,-1.3663626e-05,-inf,-7.3458323e-06,-inf,-2.6418418e-05,-inf,-inf,ignorance statements or specific experiences,"not policy, or what actions to take including strategies or instructions","not dynamics, or how the world works including explanations or affordances",neutral information
You are OK to capture the white and green squares but when you go to the long green rectangle and touch this you loose a life so somehow you need to get past it without touching it directly so maybe try the white square first and then the green one.,-0.07258267,-inf,-2.742951,-1.0639395,-0.42334303,-0.022745801,-3.7964542,-3.433825,-8.289701,-0.033201605,"abstract, complex, high-level information","policy, or what actions to take including strategies or instructions","not dynamics, or how the world works including explanations or affordances","winning, including mentions of scoring points, victory, success, goals, solutions, best strategies"
Not sure what to do after that.,-inf,-inf,-3.9888433e-05,-1.7432603e-06,-inf,-1.147242e-06,-inf,-4.7159858e-05,-inf,-inf,ignorance statements or specific experiences,"not policy, or what actions to take including strategies or instructions","not dynamics, or how the world works including explanations or affordances",neutral information
"Be careful, if pushed the wrong way the brown will fall and block your path.",-0.008902315,-4.7327013,-inf,-5.7180724,-0.0032992705,-3.6029198,-0.02763114,-0.79529446,-9.130559,-0.6010539,"abstract, complex, high-level information","policy, or what actions to take including strategies or instructions","dynamics, or how the world works including explanations or affordances","losing, including information about death, losing points, lowering scores, forfeiting, losing lives, getting stuck or trapped"
"Don't push up, focus on pushing the green in at their sides.",-0.006515945,-5.1067414,-inf,-9.176126,-0.00010747691,-0.050672695,-3.0081198,-0.068325125,-2.7196693,-inf,"abstract, complex, high-level information","policy, or what actions to take including strategies or instructions","not dynamics, or how the world works including explanations or affordances",neutral information
Make sure you push the top L purple shape to the far upper right area to get it out of the way or you're going to get stuck.,-0.008619659,-5.848088,-inf,-9.08898,-0.00011784763,-2.212611,-0.11588921,-1.8771633,-7.175469,-0.16745608,"abstract, complex, high-level information","policy, or what actions to take including strategies or instructions","dynamics, or how the world works including explanations or affordances","losing, including information about death, losing points, lowering scores, forfeiting, losing lives, getting stuck or trapped"
"Also, think ahead before pushing the purple to far.",-0.00037609597,-8.359781,-9.579092,-7.5543838,-0.000529799,-0.020042386,-3.9211044,-0.0064890543,-5.049847,-inf,"abstract, complex, high-level information","policy, or what actions to take including strategies or instructions","not dynamics, or how the world works including explanations or affordances",neutral information
Avoid pushing it too close to the outer wall or you won't be able to maneuver it later.,-0.00045021495,-7.814604,-inf,-9.116928,-0.00011605957,-1.3334146,-0.30596784,-0.013459248,-4.3888254,-7.045701,"abstract, complex, high-level information","policy, or what actions to take including strategies or instructions","not dynamics, or how the world works including explanations or affordances",neutral information
However if you get to the gold square you can win without picking up all the other squares.,-0.005944563,-5.1667895,-inf,-0.0102946265,-4.583962,-1.7510428,-0.19068673,-5.4476404,-0.004341937,-11.441955,"abstract, complex, high-level information","not policy, or what actions to take including strategies or instructions","dynamics, or how the world works including explanations or affordances","winning, including mentions of scoring points, victory, success, goals, solutions, best strategies"
I only got to level 2 but on that level if you touch the light green cube it will get rid of the orange squares for you.,-inf,-inf,-0.0045126,-0.0009227732,-7.0159373,-0.60782146,-0.7865019,-1.9127338,-4.727721,-0.170367,ignorance statements or specific experiences,"not policy, or what actions to take including strategies or instructions","not dynamics, or how the world works including explanations or affordances","losing, including information about death, losing points, lowering scores, forfeiting, losing lives, getting stuck or trapped"
Nothing chases you here so take your time.,-0.2789807,-2.856032,-1.6936498,-0.010570919,-4.557711,-0.0010673471,-6.8654165,-0.0041172234,-5.502185,-inf,"abstract, complex, high-level information","not policy, or what actions to take including strategies or instructions","not dynamics, or how the world works including explanations or affordances",neutral information
Push the cubes together until they disappear is the simplest way to put it.,-0.0028618202,-5.9489985,-8.816752,-2.9438827,-0.05412357,-0.17711006,-1.8184751,-3.0792701,-0.047121778,-inf,"abstract, complex, high-level information","policy, or what actions to take including strategies or instructions","not dynamics, or how the world works including explanations or affordances","winning, including mentions of scoring points, victory, success, goals, solutions, best strategies"
"Don't touch the green square or you loose a life, avoid the moving squares and go for the light green square to win.",-0.05505481,-2.9966614,-inf,-7.728204,-0.00044902292,-0.5259698,-0.89404804,-10.263295,-inf,-5.0974373e-05,"abstract, complex, high-level information","policy, or what actions to take including strategies or instructions","not dynamics, or how the world works including explanations or affordances","losing, including information about death, losing points, lowering scores, forfeiting, losing lives, getting stuck or trapped"
"Use the other colors, like the light blue and brown to teleport to different areas.",-0.016320098,-4.1395636,-inf,-2.3575099,-0.09946844,-5.231352,-0.005365141,-0.43434632,-1.043626,-inf,"abstract, complex, high-level information","policy, or what actions to take including strategies or instructions","dynamics, or how the world works including explanations or affordances",neutral information
You cannot touch the light blue square or you lose a life.,-10.746209,-4.0961266e-05,-11.462741,-5.1653743,-0.0057349093,-9.644922,-6.670925e-05,-12.526228,-inf,-5.9153886e-06,"concrete, simple, low-level information","policy, or what actions to take including strategies or instructions","dynamics, or how the world works including explanations or affordances","losing, including information about death, losing points, lowering scores, forfeiting, losing lives, getting stuck or trapped"
"I didn't get past the first level here so can't be much help, sorry!",-inf,-inf,-7.398068e-05,-7.89631e-07,-inf,-1.9816675e-06,-inf,-5.159186,-inf,-0.0058104135,ignorance statements or specific experiences,"not policy, or what actions to take including strategies or instructions","not dynamics, or how the world works including explanations or affordances","losing, including information about death, losing points, lowering scores, forfeiting, losing lives, getting stuck or trapped"
Red Squares will fall from the top and turn the white squares green.,-6.5703,-0.0016624433,-8.392074,-0.0025181116,-5.9900117,-8.30252,-0.00025049195,-0.038739216,-3.6651258,-4.402213,"concrete, simple, low-level information","not policy, or what actions to take including strategies or instructions","dynamics, or how the world works including explanations or affordances",neutral information
You turn them back to white by touching them.,-6.5337005,-0.004249112,-5.99637,-0.05173055,-2.988195,-1.6703084,-0.20852211,-0.0011733212,-6.816685,-9.811428,"concrete, simple, low-level information","not policy, or what actions to take including strategies or instructions","dynamics, or how the world works including explanations or affordances",neutral information
Once all 5 squares are green you lose.,-8.5854,-0.0010069659,-7.144165,-0.12681124,-2.1280415,-0.8036124,-0.5937907,-5.1696706,-8.984015,-0.00586954,"concrete, simple, low-level information","not policy, or what actions to take including strategies or instructions","not dynamics, or how the world works including explanations or affordances","winning, including mentions of scoring points, victory, success, goals, solutions, best strategies"
Your goal is to capture the gold square.,-3.6851075,-0.025489133,-10.211196,-0.001694819,-6.3953886,-7.9229984,-0.00036632127,-6.7596054,-0.0011652225,-inf,"abstract, complex, high-level information","not policy, or what actions to take including strategies or instructions","dynamics, or how the world works including explanations or affordances","winning, including mentions of scoring points, victory, success, goals, solutions, best strategies"
If you touch a green square or patch you die.,-9.67869,-0.00014263466,-9.651728,-3.8821077,-0.020833112,-8.497104,-0.0002069973,-12.273346,-inf,-6.1537958e-06,"concrete, simple, low-level information","policy, or what actions to take including strategies or instructions","dynamics, or how the world works including explanations or affordances","losing, including information about death, losing points, lowering scores, forfeiting, losing lives, getting stuck or trapped"
Touching white squares and collecting them lets you pass through green on a 1 to 1 basis.,-3.6340158,-0.02726533,-inf,-1.5688767,-0.23359732,-6.3000393,-0.001840706,-0.8901664,-0.52896416,-inf,"abstract, complex, high-level information","policy, or what actions to take including strategies or instructions","dynamics, or how the world works including explanations or affordances",neutral information
So capturing one white square lets you pass through one green square.,-0.29899386,-1.3613069,-6.6789875,-0.29212973,-1.373213,-3.854299,-0.021422897,-0.09512742,-2.4014132,-inf,"abstract, complex, high-level information","policy, or what actions to take including strategies or instructions","dynamics, or how the world works including explanations or affordances",neutral information
You can collect multiple white squares.,-6.9658785,-0.0017311064,-7.168956,-0.012775205,-4.368246,-4.3396916,-0.013134348,-0.12033841,-2.177637,-inf,"concrete, simple, low-level information","not policy, or what actions to take including strategies or instructions","dynamics, or how the world works including explanations or affordances",neutral information
"Avoid the yellow, red, dark green and brown squares and try to collect enough of the light green bits to capture the purple coloured brick.",-0.005135204,-6.2456822,-inf,-6.776457,-0.001152244,-1.9993211,-0.1455346,-1.3946403,-1.2188877,-0.7846416,"abstract, complex, high-level information","policy, or what actions to take including strategies or instructions","dynamics, or how the world works including explanations or affordances",neutral information
"Be careful, if pushed the wrong way the brown will fall and block your path or crush you.",-0.0031746218,-5.775626,-inf,-3.408394,-0.033670712,-4.5288234,-0.010857988,-3.6184332,-inf,-0.027271602,"abstract, complex, high-level information","policy, or what actions to take including strategies or instructions","dynamics, or how the world works including explanations or affordances","losing, including information about death, losing points, lowering scores, forfeiting, losing lives, getting stuck or trapped"
A gauge will appear and once you have collect enough light green blocks it will be full and you can collect the purple square.,-6.04583,-0.002981387,-inf,-0.4651097,-0.9891881,-4.2671123,-0.014132829,-1.0315137,-0.4409947,-inf,"concrete, simple, low-level information","policy, or what actions to take including strategies or instructions","dynamics, or how the world works including explanations or affordances",neutral information
As ever you are the dark blue square.,-6.1775846,-0.02256856,-3.9232948,-2.2246291e-05,-11.578858,-5.989102,-0.002516443,-1.9027791e-05,-12.613956,-inf,"concrete, simple, low-level information","not policy, or what actions to take including strategies or instructions","dynamics, or how the world works including explanations or affordances",neutral information
Touching the light blue square loses a life.,-11.193793,-2.9160103e-05,-11.707179,-2.6383314,-0.07418343,-9.2980995,-9.3291674e-05,-11.91078,-inf,-9.849109e-06,"concrete, simple, low-level information","policy, or what actions to take including strategies or instructions","dynamics, or how the world works including explanations or affordances","losing, including information about death, losing points, lowering scores, forfeiting, losing lives, getting stuck or trapped"
move the purple blocks into the light blue ones to remove them so you can reach the brown square and win.,-5.12377,-0.0061649512,-inf,-6.27362,-0.0018935334,-4.076545,-0.017121483,-8.620005,-0.00019686499,-inf,"abstract, complex, high-level information","policy, or what actions to take including strategies or instructions","dynamics, or how the world works including explanations or affordances","winning, including mentions of scoring points, victory, success, goals, solutions, best strategies"
Go for the blue squares first of all if it is safe to do so.,-1.8590649,-0.16943632,-inf,-6.9896526,-0.0009308717,-0.33866036,-1.247388,-3.5136318,-0.030269671,-inf,"abstract, complex, high-level information","policy, or what actions to take including strategies or instructions","not dynamics, or how the world works including explanations or affordances","winning, including mentions of scoring points, victory, success, goals, solutions, best strategies"
There is no risk involved with going for these.,-0.579748,-2.1361291,-1.1350534,-3.88156e-05,-10.66471,-0.0076298197,-4.881205,-0.010282473,-4.5877304,-inf,"abstract, complex, high-level information","not policy, or what actions to take including strategies or instructions","not dynamics, or how the world works including explanations or affordances",neutral information
Avoid all of the pink squares.,-12.267333,-1.2590794e-05,-12.591664,-8.744324,-0.00016420685,-5.1394253,-0.0058820983,-0.024573667,-8.466544,-3.7294228,"concrete, simple, low-level information","policy, or what actions to take including strategies or instructions","dynamics, or how the world works including explanations or affordances",neutral information
"The only way to remove the orange squares is to push a green square into them, so watch where they are positioned and try not to block yourself or the green squares into a corner.",-0.0003280752,-8.564743,-inf,-8.761333,-0.0001655181,-7.4776735,-0.00057114434,-2.5678246,-0.079976216,-9.831113,"abstract, complex, high-level information","policy, or what actions to take including strategies or instructions","dynamics, or how the world works including explanations or affordances","winning, including mentions of scoring points, victory, success, goals, solutions, best strategies"
"The yellow square is the one that completes the live for you, so make sure you get that one too.",-2.8461142,-0.079543084,-4.0541162,-0.19384888,-1.7363236,-0.64668936,-0.7419748,-1.0822756,-0.41408378,-inf,"abstract, complex, high-level information","policy, or what actions to take including strategies or instructions","not dynamics, or how the world works including explanations or affordances",neutral information
"Avoid the yellow squares, which move around the screen in a random pattern.",-6.0579524,-0.0023570948,-11.73118,-9.028305,-0.00012368128,-6.534032,-0.0014564244,-1.825264,-9.373957,-0.17591472,"concrete, simple, low-level information","policy, or what actions to take including strategies or instructions","dynamics, or how the world works including explanations or affordances","losing, including information about death, losing points, lowering scores, forfeiting, losing lives, getting stuck or trapped"
Your aim is to get to the darker green square to complete the level.,-2.806875,-0.062339492,-inf,-0.0001843486,-8.707046,-7.4855447,-0.0005648266,-5.4332185,-0.0043854904,-inf,"abstract, complex, high-level information","not policy, or what actions to take including strategies or instructions","dynamics, or how the world works including explanations or affordances","winning, including mentions of scoring points, victory, success, goals, solutions, best strategies"
You can push the lighter green squares through the blue and orange squares in order to free up the board.,-0.03729135,-3.3192642,-inf,-5.5414944,-0.0039426866,-9.560549,-7.243103e-05,-2.8990982,-0.05670609,-inf,"abstract, complex, high-level information","policy, or what actions to take including strategies or instructions","dynamics, or how the world works including explanations or affordances","winning, including mentions of scoring points, victory, success, goals, solutions, best strategies"
Push the light blue squares into the white ones to get rid of them.,-9.063696,-0.00011844365,-inf,-8.817592,-0.00015693542,-7.5328894,-0.00053897407,-0.37417102,-1.1645019,-inf,"concrete, simple, low-level information","policy, or what actions to take including strategies or instructions","dynamics, or how the world works including explanations or affordances",neutral information
"If there are no light blue squares, first of all push the pink ones into the purple ones and they will turn white.",-1.9471498,-0.15636872,-inf,-6.539807,-0.0014539248,-4.931266,-0.00724868,-0.42249164,-1.0658022,-inf,"abstract, complex, high-level information","policy, or what actions to take including strategies or instructions","dynamics, or how the world works including explanations or affordances",neutral information
"Or if you can see orange squares, push those into the pink ones.",-0.2968619,-1.3603289,-inf,-2.572512,-0.07943551,-5.4098215,-0.004485189,-1.339984,-0.30369103,-inf,"abstract, complex, high-level information","policy, or what actions to take including strategies or instructions","dynamics, or how the world works including explanations or affordances",neutral information
The aim is to get the dark blue square to the light green square.,-3.3625722,-0.035335906,-inf,-0.00020032188,-8.563417,-6.467289,-0.0015565207,-4.674076,-0.009393718,-inf,"abstract, complex, high-level information","not policy, or what actions to take including strategies or instructions","dynamics, or how the world works including explanations or affordances","winning, including mentions of scoring points, victory, success, goals, solutions, best strategies"
"Avoid the moving squares at all costs, but use the other stationary squares to be transported to other parts of the board.",-0.0006345204,-7.6088367,-inf,-8.614592,-0.00018697108,-3.3336942,-0.03631941,-0.5265144,-1.2326263,-2.140593,"abstract, complex, high-level information","policy, or what actions to take including strategies or instructions","dynamics, or how the world works including explanations or affordances",neutral information
The side of the square that you touch (i.e.,-4.4738245,-inf,-0.013230114,-0.00034154154,-8.092152,-0.01653199,-4.113576,-0.00018327577,-8.932409,-inf,ignorance statements or specific experiences,"not policy, or what actions to take including strategies or instructions","not dynamics, or how the world works including explanations or affordances",neutral information
"from the top, or the left) can influence where you are teleported to.",-0.03437011,-9.0728,-3.3982103,-0.0070380014,-4.9641533,-0.43056387,-1.0503931,-0.0005465994,-7.715869,-10.442935,"abstract, complex, high-level information","not policy, or what actions to take including strategies or instructions","not dynamics, or how the world works including explanations or affordances",neutral information
I don't know what to do on this one sorry - I lost both of my lives really quickly!,-inf,-inf,-4.8709502e-05,-9.0883464e-07,-inf,-1.2664457e-06,-inf,-9.587798,-inf,-9.436451e-05,ignorance statements or specific experiences,"not policy, or what actions to take including strategies or instructions","not dynamics, or how the world works including explanations or affordances","losing, including information about death, losing points, lowering scores, forfeiting, losing lives, getting stuck or trapped"
Good luck!,-6.5166974,-inf,-0.0017226649,-1.0206721e-05,-inf,-6.749814e-06,-inf,-0.00014120422,-9.1458435,-inf,ignorance statements or specific experiences,"not policy, or what actions to take including strategies or instructions","not dynamics, or how the world works including explanations or affordances",neutral information
This one is really difficult.,-9.502923,-inf,-0.00019889144,-2.4584822e-06,-inf,-2.6968896e-06,-inf,-3.3093824e-05,-inf,-12.139277,ignorance statements or specific experiences,"not policy, or what actions to take including strategies or instructions","not dynamics, or how the world works including explanations or affordances",neutral information
The red squares fall and they turn the white squares to green.,-4.6539392,-0.011670135,-6.274623,-0.0001978186,-8.549384,-7.974398,-0.00034774013,-0.02880791,-5.51246,-3.720548,"abstract, complex, high-level information","not policy, or what actions to take including strategies or instructions","dynamics, or how the world works including explanations or affordances",neutral information
You need to then touch those green squares to turn them back to white.... but don't touch the red ones!,-0.13659537,-2.0696492,-inf,-5.3416476,-0.00481008,-5.2562995,-0.005231156,-0.7253845,-3.0870636,-0.7551086,"abstract, complex, high-level information","policy, or what actions to take including strategies or instructions","dynamics, or how the world works including explanations or affordances",neutral information
The aim is to get to the yellow square.,-4.6152325,-0.010292033,-8.125574,-0.00037919526,-8.0445175,-6.8981724,-0.0010168524,-2.937359,-0.054474153,-inf,"abstract, complex, high-level information","not policy, or what actions to take including strategies or instructions","dynamics, or how the world works including explanations or affordances","winning, including mentions of scoring points, victory, success, goals, solutions, best strategies"
You die if you touch the green ones though.,-8.576609,-0.0003036458,-9.396879,-0.39375484,-1.122547,-6.868709,-0.001042694,-12.562348,-inf,-6.749814e-06,"concrete, simple, low-level information","policy, or what actions to take including strategies or instructions","dynamics, or how the world works including explanations or affordances","losing, including information about death, losing points, lowering scores, forfeiting, losing lives, getting stuck or trapped"
The only way to pass and touch the green ones is if you have loaded up on white squares first of all.,-0.0017431277,-7.787573,-7.2316017,-3.4316041,-0.03288813,-1.5610316,-0.23564555,-0.19895399,-1.7144436,-8.642439,"abstract, complex, high-level information","policy, or what actions to take including strategies or instructions","dynamics, or how the world works including explanations or affordances",neutral information
Having one white square lefts you pass through one green square and so on.,-0.3645856,-2.7279432,-1.4378202,-2.0070848,-0.1443434,-0.21136722,-1.6581885,-0.071573436,-2.6803076,-8.021208,"abstract, complex, high-level information","policy, or what actions to take including strategies or instructions","not dynamics, or how the world works including explanations or affordances",neutral information
"Plan your route carefully though before moving, so that you work out which white squares to collect, and in what order.",-0.00029184466,-8.794907,-inf,-9.549067,-7.862962e-05,-0.009690454,-4.6433287,-4.1521053,-0.015880447,-inf,"abstract, complex, high-level information","policy, or what actions to take including strategies or instructions","not dynamics, or how the world works including explanations or affordances","winning, including mentions of scoring points, victory, success, goals, solutions, best strategies"
"Try and collect the light green squares to fill up your huge, and once done you can collect the purple brick.",-0.06496278,-3.71806,-3.2918649,-0.84032583,-0.56494474,-0.0438144,-3.1502998,-1.1463754,-0.38257384,-inf,"abstract, complex, high-level information","policy, or what actions to take including strategies or instructions","not dynamics, or how the world works including explanations or affordances",neutral information
"Watch is you collected a green brick below a brown one, as the brown one will then fall.",-0.39903417,-1.3771836,-2.5766885,-2.1617143,-0.122346565,-1.5710969,-0.23299643,-0.05976474,-5.7139206,-2.9084928,"abstract, complex, high-level information","policy, or what actions to take including strategies or instructions","dynamics, or how the world works including explanations or affordances",neutral information
Try not to connect to the yellow ones as they will then follow you.,-3.5051773,-0.030575631,-9.750232,-4.5364327,-0.010786525,-2.1216586,-0.12765728,-0.21495634,-5.966482,-1.657238,"abstract, complex, high-level information","policy, or what actions to take including strategies or instructions","dynamics, or how the world works including explanations or affordances",neutral information
and be sure to avoid the red blocks.,-7.396737,-0.0008858494,-8.321931,-6.663589,-0.0012832104,-0.01633464,-4.1249714,-0.033580344,-inf,-3.4120002,"concrete, simple, low-level information","policy, or what actions to take including strategies or instructions","not dynamics, or how the world works including explanations or affordances",neutral information
The aim is to get the dark blue square to the brown square.,-6.5810003,-0.0014297593,-10.5195875,-0.00028326566,-8.207147,-6.1446347,-0.0021502618,-5.5607743,-0.003882023,-10.943717,"concrete, simple, low-level information","not policy, or what actions to take including strategies or instructions","dynamics, or how the world works including explanations or affordances","winning, including mentions of scoring points, victory, success, goals, solutions, best strategies"
"You aren't allowed to touch the light blue squares, so you have to push the purple ones over them to remove them.",-0.036587097,-3.3488886,-inf,-3.2492797,-0.039599188,-7.099266,-0.00082797144,-0.25754377,-2.226927,-2.128403,"abstract, complex, high-level information","policy, or what actions to take including strategies or instructions","dynamics, or how the world works including explanations or affordances",neutral information
Plan your route carefully as there are less purple squares to use than there are blue ones that can be removed.,-9.698699e-05,-9.7619095,-inf,-9.357689,-9.4960524e-05,-2.2647688,-0.10966527,-2.0865998,-0.13267191,-inf,"abstract, complex, high-level information","policy, or what actions to take including strategies or instructions","dynamics, or how the world works including explanations or affordances",neutral information
"Go for the blue squares as they are safe to do so, avoid the pink squares.",-4.6874595,-0.009269001,-inf,-9.825671,-5.5861725e-05,-1.8640546,-0.1684827,-0.6234997,-0.7683838,-inf,"abstract, complex, high-level information","policy, or what actions to take including strategies or instructions","dynamics, or how the world works including explanations or affordances",neutral information
"Use the green squares to push into the orange squares which gets rid of them, but be careful not to block yourself when you move them.",-0.015417111,-4.217993,-inf,-9.619135,-7.2907846e-05,-7.8722095,-0.00038550937,-0.23960684,-1.5507336,-7.1425514,"abstract, complex, high-level information","policy, or what actions to take including strategies or instructions","dynamics, or how the world works including explanations or affordances",neutral information
